,Unnamed: 0,pub_date,actual,forecast,previous,rolling_std,z-score,1,5,6,7
1,1,2008-03-27,-36,-33,-85,65.7280900238385,-0.045642585976740674,1473.280029,1495.359985,17600,0.05249913896923353
2,2,2008-04-03,-29,-34,-36,71.57301844757541,0.06985872761063326,1497.920044,1453.439941,46100,-0.028433850597244792
3,3,2008-04-10,-14,-15,-29,76.37283945265231,0.013093660091294031,1579.839966,1550.400024,43700,0.0645798577325909
4,4,2008-04-17,27,16,-14,86.49763528034109,0.12717110663602205,1607.359985,1603.52002,22100,0.03368824762754219
5,5,2008-04-24,24,22,27,76.11290457224874,0.026276753084643324,1662.079956,1673.599976,69200,0.042775755286339034
6,6,2008-05-01,86,30,24,80.26938546185741,0.6976507877540712,1647.359985,1618.880005,45500,-0.03324242533813315
7,7,2008-05-08,65,71,86,84.82798994900138,-0.0707313706667717,1743.040039,1730.880005,51900,0.06689539737964001
8,8,2008-05-15,93,88,65,82.41519976020899,0.06066842056498972,1787.839966,1747.199951,67100,0.009384525933947785
9,9,2008-05-22,85,85,93,76.26325021485339,0.0,1780.800049,1784.0,74700,0.020843555634241007
10,10,2008-05-29,87,84,85,67.01351062331094,0.044767092069885335,1789.439941,1733.119995,81300,-0.028934784621179155
11,11,2008-06-05,105,103,87,62.58085678834733,0.031958654812990726,1888.959961,1893.7600100000002,56300,0.08864102653351491
12,12,2008-06-12,80,94,105,51.13818178585976,-0.27376804397592297,1899.52002,1938.880005,57600,0.02354621328314188
13,13,2008-06-19,57,61,80,43.81469242990615,-0.09129357706662253,2016.0,1950.0799559999998,162200,0.005759885458680003
14,14,2008-06-26,90,90,57,35.658629794032784,0.0,1924.47998,1990.0799559999998,81800,0.020304442011747525
15,15,2008-07-03,85,89,90,25.66686343883651,-0.15584296108217116,2007.040039,2026.560059,32200,0.018164986635579083
16,16,2008-07-10,90,95,85,21.330551428465885,-0.23440556690566555,1824.640015,1864.640015,114000,-0.08327179044228128
17,17,2008-07-17,104,88,90,13.767275648721595,1.1621761928973746,1699.839966,1599.359985,195100,-0.15346447317137635
18,18,2008-07-24,84,83,104,13.77387733972177,0.07260119829266606,1464.319946,1383.359985,557000,-0.1450882281916792
19,19,2008-07-31,65,69,84,13.77387733972177,-0.29040479317066425,1370.560059,1363.199951,257600,-0.014680470505887833
20,20,2008-08-07,56,60,65,15.899304349180898,-0.2515833342234292,1320.319946,1280.640015,224900,-0.06247487646200689
21,21,2008-08-14,50,53,56,18.38209768093726,-0.16320226625229406,1262.400024,1214.400024,361900,-0.053109817263996995
22,22,2008-08-21,88,82,50,18.42182500089609,0.3257006295363322,1221.439941,1243.199951,385700,0.023438513794757476
23,23,2008-08-28,102,84,88,18.06113355951252,0.9966151870085518,1276.160034,1185.920044,972500,-0.04716977944003187
24,24,2008-09-04,90,88,102,18.32761618846049,0.1091249390774152,1057.280029,1087.359985,441100,-0.0867661555103032
25,25,2008-09-11,58,56,90,18.215045396261925,0.10979934205436777,1113.599976,1064.640015,206200,-0.02111599832925215
26,26,2008-09-18,67,61,58,18.296174463532093,0.3279374063665162,1186.23999,1120.959961,432400,0.051548698298133466
27,27,2008-09-25,51,62,67,19.732107353399037,-0.5574670663904102,1108.160034,1132.160034,178400,0.009941916344941681
28,28,2008-10-02,87,75,51,19.54869599619164,0.6138516861860133,1112.640015,1058.560059,146000,-0.06721779287114593
29,29,2008-10-09,88,86,87,17.877529488328754,0.11187228085993027,957.76001,962.23999,133800,-0.09540093928356352
30,30,2008-10-16,79,82,88,17.67616954255003,-0.16972002858302573,942.080017,963.2000119999999,158200,0.0009971976052813858
31,31,2008-10-23,70,76,79,17.517956155864518,-0.3425057093770251,944.9600220000001,902.400024,150000,-0.06520317967348888
32,32,2008-10-30,46,41,70,18.645009081155397,0.2681682791484143,934.400024,889.599976,151600,-0.01428601082163894
33,33,2008-11-06,12,25,46,25.037547561188802,-0.519220181937929,981.76001,946.5599980000001,125600,0.06206246145156591
34,34,2008-11-14,62,45,12,24.440403706431216,0.6955695251272238,859.5200199999997,871.3599849999997,112000,-0.08277916569854149
35,35,2008-11-20,16,-1,62,26.01572950770716,0.6534508284675912,873.599976,848.6400150000003,87900,-0.026420106478196814
36,36,2008-11-26,-66,-44,16,43.2214172499111,-0.5090069090699533,862.400024,907.2000119999999,223800,0.06672786040827283
37,37,2008-12-04,-64,-69,-66,53.6238300712953,0.09324212748981704,845.1199949999999,800.960022,207700,-0.12455191049055259
38,38,2008-12-11,-67,-83,-64,60.40745488812294,0.2648679708428811,764.159973,742.080017,256500,-0.07635395873470063
39,39,2008-12-18,-124,-112,-67,73.5594482323136,-0.16313336068130774,746.880005,742.719971,116700,0.0008620070646543354
40,40,2008-12-24,-147,-139,-124,82.25178454359553,-0.09726232743023096,749.119995,773.119995,66900,0.040115185358637895
41,41,2008-12-31,-143,-151,-147,84.756156476129,0.09438842359791466,758.400024,741.4400019999997,151700,-0.04184002545757526
42,42,2009-01-08,-47,-78,-143,77.9385927665123,0.3977490342027282,785.280029,741.119995,149500,-0.00043169518348928904
43,43,2009-01-15,-94,-105,-47,71.45161533046914,0.1539503333706896,653.119995,647.3599849999998,171700,-0.13526001794962816
44,44,2009-01-23,-176,-174,-94,72.68841765099896,-0.027514699929260512,608.0,591.679993,191000,-0.08993659444030655
45,45,2009-01-29,-186,-180,-176,74.86391694672446,-0.08014541911118264,592.6400150000002,604.47998,268200,0.021402614858814673
46,46,2009-02-05,-195,-190,-186,64.6334067857116,-0.07735937572619707,611.52002,615.3599849999998,153400,0.017838886797584053
