,Unnamed: 0,pub_date,actual,forecast,previous,rolling_std,z-score,1,5,6,7
1,1,2008-03-26,0.1,1.7,0.1,3.8887853521570865,-0.4114395254838351,72.940002,59.943302,23198900.0,0.05321333332576206
2,2,2008-04-02,7.3,2.3,0.1,3.10984507068059,1.6077971366289798,75.43,61.676708,21192000.0,0.028507206793925377
3,3,2008-04-09,-3.1,2.3,7.3,3.538222032534865,-1.5261902589338958,78.519997,63.49071899999999,19490100.0,0.02898738214939911
4,4,2008-04-16,-2.4,1.8,-3.1,3.801634417250592,-1.104787977755503,80.199997,66.433479,22189100.0,0.04530739348631041
5,5,2008-04-23,2.4,1.5,-2.4,3.7718655459824784,0.2386087173649697,84.410004,67.658936,21763500.0,0.018278306319056803
6,6,2008-04-30,3.8,0.9,2.4,3.481770709384417,0.8329095285291559,81.599998,65.90941600000001,24474200.0,-0.02619812308371916
7,7,2008-05-07,5.7,1.6,3.8,3.664158922053,1.1189471000626798,84.940002,67.126823,23123500.0,0.018302396289094247
8,8,2008-05-14,0.2,2.2,5.7,3.6309277552212964,-0.5508234079083473,85.300003,68.287788,24846300.0,0.017147240428847077
9,9,2008-05-21,-5.4,0.5,0.2,4.12328936063371,-1.4308964236973236,90.019997,71.794899,45072200.0,0.050082477786273394
10,10,2008-05-29,-8.8,-0.3,-5.4,4.892937086590561,-1.7371978935300123,86.620003,68.626427,35941900.0,-0.045135735177428415
11,11,2008-06-04,-4.8,1.1,-8.8,4.758238469573938,-1.2399546676205777,84.510002,67.231636,31625300.0,-0.020533783225315183
12,12,2008-06-11,-4.6,-0.9,-4.8,4.903801864601865,-0.7545166183626791,87.16999799999998,70.06150799999999,30961400.0,0.04122963138594038
13,13,2008-06-18,-1.2,-1.5,-4.6,4.896465948812346,0.061268678907644814,88.150002,71.504654,21458200.0,0.020388996545386284
14,14,2008-06-25,0.8,-0.1,-1.2,4.2184658995249125,0.21334770066562792,87.730003,70.424385,40033800.0,-0.015222957460780506
15,15,2008-07-02,-2.0,-0.1,0.8,4.1912155610023065,-0.4533291052072792,89.160004,69.656418,36697700.0,-0.01096473860284064
16,16,2008-07-09,-5.9,-1.5,-2.0,4.38748219369606,-1.0028530728448142,82.199997,64.547577,32329800.0,-0.07617226263216548
17,17,2008-07-16,3.0,-1.2,-5.9,4.440925374493268,0.9457488351691208,78.690002,62.114429,49362100.0,-0.038424266798136486
18,18,2008-07-23,-1.6,-0.7,3.0,4.104875150354759,-0.21925149171034325,76.519997,59.64893000000001,55642100.0,-0.04050210258527098
19,19,2008-07-30,-0.1,-1.4,-1.6,3.3883043046051893,0.3836727410324728,73.25,62.712589,44432600.0,0.05008599857263274
20,20,2008-08-06,1.7,0.1,-0.1,3.5232883228683685,0.4541212223861977,71.480003,59.050746999999994,38526500.0,-0.06016501612445424
21,21,2008-08-13,-0.4,-0.1,1.7,3.431792093017432,-0.0874178830968232,70.769997,59.41450500000001,44127300.0,0.006141195618082129
22,22,2008-08-20,9.4,0.7,-0.4,4.1050135643669154,2.119359622954556,73.220001,60.222862,46728100.0,0.01351365918543479
23,23,2008-08-27,-0.1,0.9,9.4,3.8724747392411234,-0.2582328013315761,76.07,61.710262,24056500.0,0.024398190325938707
24,24,2008-09-04,-1.9,0.0,-0.1,3.658727631129144,-0.5193062155910274,70.309998,55.534381999999994,54046100.0,-0.1054479135494093
25,25,2008-09-10,-5.9,-4.6,-1.9,4.046435019079926,-0.32127045012960403,64.129997,53.141624,60377000.0,-0.04404182379222776
26,26,2008-09-17,-6.3,-4.3,-5.9,4.383949720459297,-0.4562096117722957,65.43,52.503025,66505200.0,-0.012089713662250645
27,27,2008-09-24,-1.5,-2.0,-6.3,4.374305139624515,0.11430386862378772,68.699997,55.056561,29585200.0,0.04749025164303644
28,28,2008-10-01,4.3,1.8,-1.5,4.283265534188096,0.5836668261739887,62.700001,50.490807000000004,46615500.0,-0.08656975852218585
29,29,2008-10-08,8.1,2.0,4.3,4.821754678726219,1.2650996175548814,50.32,42.867737,80498200.0,-0.16367178838664165
30,30,2008-10-16,5.6,2.0,8.1,4.9852737683556105,0.7221268414287021,43.779999,36.452984,77417400.0,-0.16209617104635532
31,31,2008-10-22,3.2,2.3,5.6,5.005542382744805,0.1798006951459439,47.0,35.844749,62100200.0,-0.01682623576413933
32,32,2008-10-29,0.5,1.4,3.2,5.009899291312244,-0.17964432968956207,47.48,39.031849,63805700.0,0.0851808689764364
33,33,2008-11-05,0.0,1.1,0.5,4.9992423668416235,-0.2200333409110045,51.650002,41.075497,42621100.0,0.05103380978210259
34,34,2008-11-13,0.0,1.0,0.0,4.299259978605197,-0.23259816921432805,45.349998,40.418613,63992600.0,-0.016121366976519447
35,35,2008-11-19,1.6,0.9,0.0,4.305695664061169,0.16257535474296714,47.970001,36.980098999999996,49142300.0,-0.08891049361285308
36,36,2008-11-26,7.3,0.7,1.6,4.6196139809873,1.4286908012581292,47.849998,41.440422,39359000.0,0.11387687821889614
37,37,2008-12-03,-0.4,1.8,7.3,4.068578785440111,-0.5407293593214809,45.279999,37.69376,47998600.0,-0.09476221778396487
38,38,2008-12-10,0.4,1.0,-0.4,3.2164703975292257,-0.18653987938483685,47.490002000000004,39.729294,41461200.0,0.05259423620838133
39,39,2008-12-17,0.5,0.3,0.4,3.0416677044415,0.06575340222337776,49.389998999999996,39.875263000000004,41052400.0,0.0036673569730663047
40,40,2008-12-24,-3.1,0.4,0.5,3.3936103060149536,-1.0313500032094072,44.360001000000004,36.324169,6334600.0,-0.09327282430648198
