Start_Time,Stop_Time,N_Bikes,Station_Name
2017-01-02 T02:20 Z,2017-01-02 T02:40 Z,0,Pershing Square North
2017-01-02 T02:40 Z,2017-01-02 T03:00 Z,0,Pershing Square North
2017-01-02 T03:00 Z,2017-01-02 T03:20 Z,0,Pershing Square North
2017-01-02 T03:20 Z,2017-01-02 T03:40 Z,0,Pershing Square North
2017-01-02 T03:40 Z,2017-01-02 T04:00 Z,0,Pershing Square North
2017-01-02 T04:00 Z,2017-01-02 T04:20 Z,0,Pershing Square North
2017-01-02 T04:20 Z,2017-01-02 T04:40 Z,0,Pershing Square North
2017-01-02 T04:40 Z,2017-01-02 T05:00 Z,1,Pershing Square North
2017-01-02 T05:00 Z,2017-01-02 T05:20 Z,0,Pershing Square North
2017-01-02 T05:20 Z,2017-01-02 T05:40 Z,0,Pershing Square North
2017-01-02 T05:40 Z,2017-01-02 T06:00 Z,1,Pershing Square North
2017-01-02 T06:00 Z,2017-01-02 T06:20 Z,3,Pershing Square North
2017-01-02 T06:20 Z,2017-01-02 T06:40 Z,1,Pershing Square North
2017-01-02 T06:40 Z,2017-01-02 T07:00 Z,0,Pershing Square North
2017-01-02 T07:00 Z,2017-01-02 T07:20 Z,0,Pershing Square North
2017-01-02 T07:20 Z,2017-01-02 T07:40 Z,1,Pershing Square North
2017-01-02 T07:40 Z,2017-01-02 T08:00 Z,0,Pershing Square North
2017-01-02 T08:00 Z,2017-01-02 T08:20 Z,1,Pershing Square North
2017-01-02 T08:20 Z,2017-01-02 T08:40 Z,2,Pershing Square North
2017-01-02 T08:40 Z,2017-01-02 T09:00 Z,4,Pershing Square North
2017-01-02 T09:00 Z,2017-01-02 T09:20 Z,0,Pershing Square North
2017-01-02 T09:20 Z,2017-01-02 T09:40 Z,0,Pershing Square North
2017-01-02 T09:40 Z,2017-01-02 T10:00 Z,2,Pershing Square North
2017-01-02 T10:00 Z,2017-01-02 T10:20 Z,1,Pershing Square North
2017-01-02 T10:20 Z,2017-01-02 T10:40 Z,2,Pershing Square North
2017-01-02 T10:40 Z,2017-01-02 T11:00 Z,2,Pershing Square North
2017-01-02 T11:00 Z,2017-01-02 T11:20 Z,0,Pershing Square North
