,distance
0,0.005008386145137504
1,0.006969794203663065
2,0.015169490607510702
3,0.009793022643327105
4,0.009793022643327105
5,0.012456054680893964
6,0.002937029624988233
7,0.00041232519082065947
8,0.00041232519082065947
9,0.001997841393282962
10,0.004767643645539826
11,0.006969794203663065
12,0.004767643645539826
13,0.006969794203663065
14,0.012134542778175607
15,0.0
16,0.014334795976178967
17,0.0005795525635528325
18,0.0033700560954305417
19,0.0021818817089124527
20,0.0022546576024454357
21,0.006855993018339405
22,0.004767643645539826
23,0.004767643645539826
24,0.0033700560954305417
25,0.006855993018339405
26,0.006153774397917877
27,0.005986547025185508
28,0.0033700560954305417
29,0.0050253789977866125
30,0.006153774397917877
31,0.004767643645539826
32,0.00041232519082065947
33,0.0033700560954305417
34,0.006855993018339405
35,0.022698178775731135
36,0.013150842222287575
37,0.004767643645539826
38,0.013150842222287575
39,0.006969794203663065
40,0.004767643645539826
41,0.0050253789977866125
42,0.0021818817089124527
43,0.006855993018339405
44,0.006855993018339405
45,0.0003401118544808731
46,0.00041232519082065947
47,0.006969794203663065
48,0.005008386145137504
49,0.00041232519082065947
50,0.005200670115989193
51,0.013955681369601527
52,0.00486377158901448
53,0.0022546576024454357
54,0.006153774397917877
55,0.006855993018339405
56,0.006994461368197694
57,0.014801408788467321
58,0.013150842222287575
59,0.006969794203663065
60,0.006969794203663065
61,0.010110163458761326
62,0.00041232519082065947
63,0.0028434972888800127
64,0.00041232519082065947
65,0.00017288448175555306
66,0.005008386145137504
67,0.004767643645539826
68,0.00041232519082065947
69,0.0028434972888800127
70,0.006969794203663065
71,0.006855993018339405
72,0.0016577295388020526
73,0.00041232519082065947
74,0.012134542778175607
75,0.0033700560954305417
76,0.006855993018339405
77,0.006855993018339405
78,0.0022546576024454357
79,0.0022546576024454357
80,0.0022546576024454357
81,0.007023220391071834
82,0.00017288448175555306
83,0.0051357254645877015
84,0.0033700560954305417
85,0.00016722737272531975
86,0.014286264138653347
87,0.005008386145137504
88,0.0022641866878834525
89,0.0013794391055567024
90,0.017056066390910438
91,0.012288422745372852
92,0.0003401118544808731
93,0.0012787538893160838
94,0.010364752474771144
95,0.0002394407090651059
96,0.015169490607510702
97,0.00486377158901448
98,0.010033765142925359
99,0.00041232519082065947
100,0.015169490607510702
101,0.00041232519082065947
102,0.0012787538893160838
103,0.005200670115989193
104,0.017193869926927095
105,0.006855993018339405
106,0.006855993018339405
107,0.013150842222287575
108,0.02520898668462503
109,0.005008386145137504
110,0.012031606536209197
111,0.010033765142925359
112,0.010033765142925359
113,0.014286264138653347
114,0.007984388418471529
115,0.012134542778175607
116,0.001997841393282962
117,0.01064003431338736
118,0.006855993018339405
119,0.006855993018339405
120,0.014161911494415437
121,0.010144111609726718
122,0.006780798377479884
123,0.0031974066248237104
124,0.014801408788467321
125,0.012456054680893964
126,0.012288422745372852
127,0.0069745636763425545
128,0.0031974066248237104
129,0.01034485478292967
130,0.006855993018339405
131,0.00041232519082065947
132,0.0021818817089124527
133,0.00041232519082065947
134,0.0033700560954305417
135,0.012134542778175607
136,0.00041232519082065947
137,0.010033765142925359
138,0.01034485478292967
139,0.017193869926927095
140,0.0
141,0.00041232519082065947
142,0.008534138454222035
143,0.021017904512765428
144,0.00041232519082065947
145,0.0033700560954305417
146,0.005008386145137504
147,0.0022546576024454357
148,0.01599252551497264
149,0.010364752474771144
150,0.0105585177736342
151,0.0022546576024454357
152,0.014286264138653347
153,0.00041232519082065947
154,0.0
155,0.006683108536583598
156,0.0022546576024454357
157,0.014334795976178967
158,0.0031974066248237104
159,0.017193869926927095
160,0.0016577295388020526
161,0.0033700560954305417
162,0.006855993018339405
163,0.01599252551497264
164,0.011940777479312329
165,0.026026290657894805
166,0.012031606536209197
167,0.0050253789977866125
168,0.006855993018339405
169,0.022331528995107253
170,0.012031606536209197
171,0.006683108536583598
172,0.017193869926927095
173,0.0016577295388020526
174,0.010033765142925359
175,0.005059327148751917
176,0.0033700560954305417
177,0.004460886327603258
178,0.0071635595025189005
179,0.0018306140205507702
180,0.0018306140205507702
181,0.003921916226679124
182,0.002091302206121021
183,0.01700010462806975
184,0.005059327148751917
185,0.0
